#frame	 avgInt
403	0.0340227
404	0.033703
405	0.0336839
406	0.0338533
407	0.033655
408	0.0337715
409	0.03362
410	0.0335306
411	0.033542
412	0.0334725
413	0.0335676
414	0.0335008
415	0.0335284
416	0.0335466
417	0.0334777
418	0.033385
419	0.0336579
420	0.0334011
421	0.0335331
422	0.033396
423	0.0334595
424	0.0334516
425	0.0333776
426	0.0333492
427	0.0334215
428	0.0332851
429	0.0334146
430	0.0332667
431	0.0331913
432	0.0332079
433	0.0333298
434	0.0334179
435	0.0332933
436	0.0332985
437	0.0332393
438	0.0332321
439	0.0330365
440	0.0333978
441	0.0331571
442	0.0331611
443	0.033068
444	0.0332486
445	0.0331865
446	0.0332452
447	0.0330296
448	0.0332031
449	0.0331753
450	0.03313
451	0.033043
452	0.0331925
453	0.0331141
454	0.0331155
455	0.0329067
456	0.0331514
457	0.0331165
458	0.033197
459	0.0330061
460	0.0331048
461	0.0330925
462	0.0330735
463	0.0331558
464	0.0331773
465	0.032956
466	0.0330032
467	0.0330159
468	0.0331177
469	0.0331766
470	0.0330895
471	0.0330628
472	0.0330972
473	0.0330293
474	0.0330949
475	0.0331106
476	0.0330877
477	0.0330058
478	0.0331086
479	0.0331085
480	0.0330402
481	0.0330678
482	0.0330248
483	0.033107
484	0.0331268
485	0.0331475
486	0.032967
487	0.0330125
488	0.0330164
489	0.0332072
490	0.0329959
491	0.0331387
492	0.0328673
493	0.0330897
494	0.0331466
495	0.0330185
496	0.0330986
497	0.0330932
498	0.033003
499	0.0329687
500	0.0329747
501	0.0329583
502	0.0330355
503	0.0330186
504	0.0330314
505	0.0329345
506	0.0330646
507	0.0331187
508	0.0330968
509	0.0330072
510	0.0330615
511	0.0330649
512	0.0329774
513	0.0330268
514	0.0330688
515	0.033069
516	0.0330198
517	0.0330123
518	0.0331273
519	0.0329781
520	0.0331133
521	0.0331103
522	0.0329982
523	0.0331287
524	0.0329693
525	0.0330239
526	0.0330146
527	0.0330217
528	0.0329684
529	0.033146
530	0.0330302
531	0.0329225
532	0.0330994
533	0.0330478
534	0.0329898
535	0.0330355
536	0.0330598
537	0.0330649
538	0.0330258
539	0.0331455
540	0.0330567
541	0.0331748
542	0.0330014
543	0.0331282
544	0.0331644
545	0.0330975
546	0.0330936
547	0.0329784
548	0.0332618
549	0.0330536
550	0.0330688
551	0.0333005
552	0.0329681
553	0.0330152
554	0.0330789
555	0.032935
556	0.0332037
557	0.0332088
558	0.0330457
559	0.0330208
560	0.0329018
561	0.0330798
562	0.03305
563	0.0330697
564	0.0330124
565	0.0331421
566	0.0330016
567	0.033146
568	0.0331219
569	0.0329989
570	0.032949
571	0.0331258
572	0.0329789
573	0.03305
574	0.0330314
575	0.033069
576	0.0330479
577	0.0329466
578	0.0330029
579	0.032992
580	0.0328796
581	0.0331463
582	0.0329268
583	0.033022
584	0.0330249
585	0.0331556
586	0.0328228
587	0.0330862
588	0.0330339
589	0.0330881
590	0.0330094
591	0.0329749
592	0.0330365
593	0.0329381
594	0.0331206
595	0.0330852
596	0.033232
597	0.0329007
598	0.0330586
599	0.0330473
600	0.0329279
601	0.0331089
602	0.0329993
603	0.0330211
604	0.0329967
605	0.0329537
606	0.0330143
607	0.0329429
608	0.0330328
609	0.0331408
610	0.033063
611	0.0331048
612	0.0330083
613	0.033067
614	0.0330012
615	0.0330258
616	0.0331104
617	0.0330616
618	0.032961
619	0.0330023
620	0.0329855
621	0.0331417
622	0.0330254
623	0.033044
624	0.0329774
625	0.0330277
626	0.0330306
627	0.0328984
628	0.0330816
629	0.0330585
630	0.0330054
631	0.0329477
632	0.0330415
633	0.0331376
634	0.0330982
635	0.0329523
636	0.0329566
637	0.0330013
638	0.0330518
639	0.0330367
640	0.0330494
641	0.0330344
642	0.0330035
643	0.03314
644	0.0328398
645	0.0330623
646	0.0330013
647	0.0330067
648	0.0331316
649	0.0330885
650	0.0330956
651	0.0329747
652	0.032985
653	0.0330041
654	0.0329646
655	0.0331385
656	0.0329866
657	0.0330018
658	0.0330376
659	0.0330133
660	0.0329848
661	0.033018
662	0.0328789
663	0.0329854
664	0.0330647
665	0.0329728
666	0.0330279
667	0.0329669
668	0.0331642
669	0.0330764
670	0.0329455
671	0.0332369
672	0.033067
673	0.0328858
674	0.0330277
675	0.0330304
676	0.0329814
677	0.0330209
678	0.0330258
679	0.033091
680	0.0331118
681	0.0329854
682	0.0329996
683	0.0330241
684	0.0330665
685	0.0329904
686	0.0329931
