#frame	 avgInt
1	0.0330095
2	0.033065
3	0.0330357
4	0.0330177
5	0.0330356
6	0.0330354
7	0.0330024
8	0.0331028
9	0.0330593
10	0.03307
11	0.0330274
12	0.0331314
13	0.0330022
14	0.033158
15	0.0329933
16	0.0331197
17	0.0329349
18	0.0329028
19	0.0332054
20	0.0329505
21	0.0330404
22	0.0329893
23	0.033149
24	0.032934
25	0.0330923
26	0.0329805
27	0.0331481
28	0.0329493
29	0.0330785
30	0.0330159
31	0.0329344
32	0.0332601
33	0.0331034
34	0.0330354
35	0.0331942
36	0.0330315
37	0.032967
38	0.0329103
39	0.0329975
40	0.0331012
41	0.0329898
42	0.0330591
43	0.0330853
44	0.0328811
45	0.0331304
46	0.033091
47	0.0329831
48	0.0328606
49	0.0331457
50	0.0329423
51	0.0331543
52	0.0329768
53	0.03297
54	0.0330393
55	0.0330492
56	0.0331026
57	0.0332704
58	0.0330059
59	0.0331097
60	0.0330212
61	0.0329948
62	0.0330671
63	0.0330647
64	0.0329872
65	0.0329029
66	0.0331209
67	0.0331753
68	0.0329122
69	0.0330542
70	0.0330671
71	0.0329632
72	0.0329185
73	0.0331482
74	0.033053
75	0.0331178
76	0.0331367
77	0.0329671
78	0.0330905
79	0.0331442
80	0.0332509
81	0.0329244
82	0.0330557
83	0.0330842
84	0.0329922
85	0.0331171
86	0.0330665
87	0.0330205
88	0.0330756
89	0.0329295
90	0.0330654
91	0.033087
92	0.0330425
93	0.0327754
94	0.0330868
95	0.0328966
96	0.0329947
97	0.0329767
98	0.0329981
99	0.0330267
100	0.0330431
101	0.0330273
102	0.0330364
103	0.0331524
104	0.0329462
105	0.0330232
106	0.0330473
107	0.0330686
108	0.0331279
109	0.0329526
110	0.0330687
111	0.0330493
112	0.033145
113	0.0330768
114	0.0331252
115	0.03298
116	0.0332288
117	0.0330593
118	0.0330357
119	0.0332003
120	0.0329845
121	0.0332071
122	0.0329643
123	0.0330099
124	0.0329483
125	0.0329388
126	0.033036
127	0.032949
128	0.0332306
129	0.0330411
130	0.0329976
131	0.0329764
132	0.0330789
133	0.0327872
134	0.0329833
135	0.0329043
136	0.0332187
137	0.0330134
138	0.032803
139	0.0330905
140	0.0330893
141	0.0330898
142	0.0330559
143	0.0331748
144	0.0330966
145	0.0330826
146	0.0331068
147	0.0331003
148	0.0331409
149	0.0330451
150	0.0330604
151	0.0330654
152	0.0330928
153	0.0332265
154	0.0330616
155	0.0329884
156	0.0330401
157	0.0329721
158	0.0330146
159	0.0330842
160	0.0329641
161	0.0330507
162	0.0330383
163	0.03304
164	0.0332088
165	0.0330205
166	0.033094
167	0.0330942
168	0.033047
169	0.0331527
170	0.0329821
171	0.0330816
172	0.0330095
173	0.0331674
174	0.0332144
175	0.0331097
176	0.0331915
177	0.0331681
178	0.033211
179	0.0332341
180	0.0332504
181	0.0332292
182	0.033429
183	0.0334639
184	0.0338291
185	0.0338484
186	0.0341376
187	0.0343366
188	0.0347416
189	0.035001
190	0.0352857
191	0.0352556
192	0.0358099
193	0.0360398
194	0.0364104
195	0.0366136
196	0.0372188
197	0.0374458
198	0.0376614
199	0.0379987
200	0.0381877
201	0.0383994
202	0.0387666
203	0.0389864
204	0.039224
205	0.0396286
206	0.0398282
207	0.0400516
208	0.0404659
209	0.0409272
210	0.0406298
211	0.0410416
212	0.0414518
213	0.0414628
214	0.0418488
215	0.0420322
216	0.0421151
217	0.0421581
218	0.0428261
219	0.0419132
220	0.0425593
221	0.0429383
222	0.0430215
223	0.042984
224	0.0431402
225	0.0431404
226	0.0434627
227	0.0434512
228	0.0429904
229	0.0435064
230	0.0435359
231	0.0434118
232	0.0434566
233	0.043621
234	0.0435582
235	0.0433576
236	0.043739
237	0.0434324
238	0.0434825
239	0.0434896
240	0.0433539
241	0.0434473
242	0.0432067
243	0.0432613
244	0.0430118
245	0.0432722
246	0.0433384
247	0.0428613
248	0.0428037
249	0.0430078
250	0.042578
251	0.0424904
252	0.0425565
253	0.0422994
254	0.0421065
255	0.04259
256	0.0419361
257	0.0419737
258	0.0420431
259	0.0419003
260	0.0419134
261	0.0418238
262	0.0416045
263	0.0413544
264	0.0415364
