#frame	 avgInt
1	0.0550393
2	0.0550026
3	0.0549901
4	0.0550039
5	0.0551183
6	0.0550352
7	0.0550137
8	0.0549784
9	0.0551047
10	0.0551684
11	0.0551429
12	0.0550664
13	0.0550216
14	0.0550925
15	0.0551621
16	0.0550425
17	0.055054
18	0.0550474
19	0.0551052
20	0.0550155
21	0.0550319
22	0.0550978
23	0.0550853
24	0.0551572
25	0.0550095
26	0.0551127
27	0.0551545
28	0.0551551
29	0.0550084
30	0.0550676
31	0.0550041
32	0.0549477
33	0.0550535
34	0.0550927
35	0.0549812
36	0.0549473
37	0.0552192
38	0.0550908
39	0.0549557
40	0.0549885
41	0.0550902
42	0.0550698
43	0.0550855
44	0.0551319
45	0.0550807
46	0.0550587
47	0.0551027
48	0.0550746
49	0.055078
50	0.0550326
51	0.0551033
52	0.055127
53	0.0551186
54	0.0551134
55	0.0550383
56	0.0551868
57	0.0551593
58	0.0552253
59	0.0551425
60	0.0550851
61	0.055134
62	0.054974
63	0.0551184
64	0.0551671
65	0.0550618
66	0.0551696
67	0.0551293
68	0.05513
69	0.0551357
70	0.0551582
71	0.0550709
72	0.0550764
73	0.0551219
74	0.0551194
75	0.0550981
76	0.0551744
77	0.0551727
78	0.0551122
79	0.0551852
80	0.0551768
81	0.0551546
82	0.0551338
83	0.055089
84	0.0550684
85	0.0551464
86	0.0551292
87	0.055112
88	0.0551425
89	0.0550558
90	0.0551914
91	0.0551624
92	0.0551165
93	0.0550159
94	0.0552056
95	0.055029
96	0.055144
97	0.0551564
98	0.055109
99	0.0551532
100	0.0549879
101	0.055088
102	0.055229
103	0.0552899
104	0.0551794
105	0.0551572
106	0.0551303
107	0.0550777
108	0.0551227
109	0.0552001
110	0.055152
111	0.0551206
112	0.0551993
113	0.055151
114	0.0552293
115	0.0551609
116	0.0550909
117	0.055154
118	0.0551325
119	0.0551769
120	0.0551714
121	0.0552039
122	0.0551853
123	0.0550733
124	0.0551248
125	0.0551084
126	0.0551492
127	0.0552146
128	0.0551427
129	0.0551812
130	0.0552013
131	0.0551049
132	0.0551638
133	0.0552411
134	0.0552372
135	0.0551557
136	0.0552177
137	0.0551986
138	0.0552474
139	0.0552337
140	0.0551058
141	0.0552226
142	0.0552321
143	0.0551868
144	0.0551803
145	0.0552365
146	0.0551902
147	0.055219
