#frame	 avgInt
1	0.0557828
2	0.0558125
3	0.0557729
4	0.0558511
5	0.055878
6	0.0557115
7	0.055785
8	0.0557404
9	0.0557484
10	0.0558143
11	0.0558269
12	0.0557326
13	0.0558002
14	0.0557769
15	0.0556582
16	0.0557286
17	0.0556905
18	0.0556738
19	0.055779
20	0.0557594
21	0.0557347
22	0.0557749
23	0.0558259
24	0.055848
25	0.0557288
26	0.0558064
27	0.0558571
28	0.0557445
29	0.0558343
30	0.0558902
31	0.055736
32	0.0557723
33	0.0558581
34	0.0557175
35	0.0557879
36	0.055891
37	0.0557257
38	0.0557536
39	0.0556103
40	0.0558383
41	0.0557689
42	0.0557433
43	0.0557397
44	0.0557809
45	0.0557759
46	0.0557987
47	0.0557396
48	0.0557891
49	0.0558592
50	0.0557875
51	0.0558727
52	0.0556697
53	0.0557118
54	0.0557539
55	0.055685
56	0.0558127
57	0.0558583
58	0.0557071
59	0.0557478
60	0.0557514
61	0.0557877
62	0.055753
63	0.0556991
64	0.0557282
65	0.0558484
66	0.0557225
67	0.0556624
68	0.0557509
69	0.0557751
70	0.0557898
71	0.0558122
72	0.0558009
73	0.0558077
74	0.0557786
75	0.0556639
76	0.0558206
77	0.0557325
78	0.0557565
79	0.0557442
80	0.0558474
81	0.0557751
82	0.0557685
83	0.0558129
84	0.0557585
85	0.0557542
86	0.0558537
87	0.0558303
88	0.0558078
89	0.0557373
90	0.0558713
91	0.0558345
92	0.0558052
93	0.0558322
94	0.055816
95	0.0557461
96	0.0557365
97	0.0559018
98	0.0557842
99	0.0558593
100	0.0557797
101	0.0558136
102	0.0558503
103	0.055979
104	0.0558122
105	0.0558775
106	0.0557455
107	0.0558436
108	0.0557786
109	0.0557603
110	0.0557373
111	0.0558059
112	0.0558433
113	0.0558586
114	0.0557804
115	0.0557428
116	0.0557953
117	0.055844
118	0.0557948
119	0.0558098
120	0.0558173
121	0.0556832
122	0.0558604
123	0.055985
124	0.0558013
125	0.0558575
126	0.0558003
127	0.0558476
128	0.0558389
129	0.0559072
130	0.0558185
131	0.0558054
132	0.0557232
133	0.0557333
134	0.0557603
135	0.0558204
136	0.0557885
137	0.0557337
138	0.0559309
139	0.0558643
140	0.0559812
141	0.0558442
142	0.0557845
143	0.0557886
144	0.0557067
145	0.0558442
146	0.0558885
147	0.0558042
148	0.0558962
149	0.0557743
150	0.0556799
151	0.0557919
152	0.0558356
153	0.0558701
154	0.0558615
155	0.0558071
156	0.0558582
157	0.055923
158	0.055815
159	0.0558925
160	0.0558494
161	0.0558343
162	0.0558419
163	0.0558628
164	0.0557427
165	0.0556936
166	0.0558374
167	0.0558258
168	0.0557881
169	0.0559377
170	0.0557883
171	0.0557716
172	0.055808
173	0.0558164
174	0.0558605
175	0.0558139
176	0.0558852
177	0.0559258
178	0.0559528
179	0.0558634
180	0.0557731
181	0.0559488
182	0.0559292
183	0.0559375
184	0.0559041
185	0.0558655
186	0.0559254
187	0.0560113
188	0.0560443
189	0.0560285
190	0.0560855
191	0.0561906
192	0.0563935
193	0.0562915
194	0.0563723
195	0.0564895
196	0.0566573
197	0.0566905
198	0.0568869
199	0.0570598
200	0.0570571
201	0.0572919
202	0.0574123
203	0.0575364
204	0.0577195
205	0.0580361
206	0.0581221
207	0.0580549
208	0.0583123
209	0.0586162
210	0.0586714
211	0.058991
212	0.0588364
213	0.0591485
214	0.0592717
215	0.0594662
216	0.0596474
217	0.0597331
218	0.0598474
219	0.0600107
220	0.0602534
221	0.0602295
222	0.0604644
223	0.0605694
224	0.0607842
225	0.0607746
226	0.0608319
227	0.0610365
228	0.0611721
229	0.0611954
230	0.0612872
231	0.0613872
232	0.0613618
233	0.0613726
234	0.0616298
235	0.0615051
236	0.0616957
237	0.0617612
238	0.0617411
239	0.0618689
240	0.0617109
241	0.0617464
242	0.061768
243	0.0617464
244	0.06178
245	0.0617833
246	0.0618208
247	0.0617368
248	0.0619333
249	0.0614859
250	0.0618873
251	0.0616793
252	0.0616432
253	0.0616125
254	0.061558
255	0.0615099
256	0.0615618
257	0.0615935
258	0.0613433
259	0.0614887
260	0.0612893
261	0.0612653
262	0.0612328
263	0.0611852
264	0.0611299
265	0.0609501
266	0.061138
267	0.0608007
268	0.0609563
269	0.0609372
270	0.0606848
271	0.0609404
272	0.0606526
273	0.0605793
274	0.0604938
275	0.0606099
276	0.0603796
277	0.0603152
278	0.0604085
279	0.0603129
280	0.0602869
281	0.06033
282	0.0601254
283	0.0601809
284	0.060191
285	0.0601931
286	0.0600297
287	0.0600164
288	0.0600187
289	0.0599083
290	0.0600012
291	0.0598275
292	0.0599162
293	0.0597167
294	0.0599377
295	0.0595812
296	0.0597848
297	0.0595185
298	0.0595008
299	0.059535
300	0.0594407
301	0.059266
302	0.0593439
303	0.0592965
304	0.0592001
305	0.0591616
306	0.0591996
307	0.0591253
308	0.059133
309	0.0591708
310	0.0590959
311	0.0590347
312	0.0591311
313	0.0589583
314	0.0592109
315	0.0592564
316	0.0592845
317	0.0592974
318	0.0593955
319	0.0594132
320	0.0595041
321	0.0596551
322	0.0598436
323	0.0596904
324	0.0597433
325	0.0599328
326	0.0598635
327	0.0598515
328	0.0597586
329	0.0598894
330	0.0599729
331	0.0601531
332	0.0596334
333	0.0598174
334	0.0597567
335	0.0597851
336	0.0595736
337	0.0596196
338	0.05952
339	0.0593949
340	0.0594513
341	0.0590736
342	0.0591176
343	0.0589507
344	0.0588913
345	0.058952
346	0.0588511
347	0.0587108
348	0.0584841
349	0.0585397
350	0.0583184
351	0.0583121
352	0.0583107
353	0.0582539
354	0.058141
355	0.058112
356	0.0579886
357	0.0578762
358	0.0578369
359	0.0577761
360	0.0576924
361	0.0577885
362	0.0575276
363	0.0575741
364	0.0574854
365	0.0574528
366	0.0574898
367	0.0574434
368	0.0574092
369	0.0572741
370	0.0572848
371	0.0572851
372	0.0572256
373	0.0571847
374	0.0570897
375	0.0571702
376	0.05711
377	0.0570702
378	0.056949
379	0.0570392
380	0.0569972
381	0.0569455
382	0.0568894
383	0.0568174
384	0.0568998
385	0.0568209
386	0.0569585
387	0.0568138
388	0.056773
389	0.0568112
390	0.0566977
391	0.0567331
392	0.0567594
393	0.0567536
394	0.0567523
395	0.0566139
396	0.0566726
397	0.0566361
398	0.056499
399	0.0566305
400	0.0566301
401	0.0565722
402	0.0565633
403	0.0566414
404	0.0564024
405	0.0564518
406	0.056423
407	0.0563824
408	0.0565513
409	0.0564604
410	0.0563562
411	0.0564046
412	0.0563393
413	0.0563239
414	0.0562669
415	0.0562436
416	0.0562121
417	0.0562844
418	0.0562292
419	0.0561749
420	0.0562089
421	0.0561887
422	0.0562211
423	0.0561846
424	0.0562882
425	0.056109
426	0.056213
427	0.0562233
428	0.0561156
429	0.0561895
430	0.056214
431	0.0562214
432	0.0561253
433	0.0560991
434	0.0561415
435	0.056052
436	0.0562356
437	0.056161
438	0.0561465
439	0.0561603
440	0.0561048
441	0.0561204
442	0.0560677
443	0.0561169
444	0.0560578
445	0.0560238
446	0.0560838
447	0.0560283
448	0.0561343
449	0.0561479
450	0.0559835
451	0.0560483
452	0.0560135
453	0.0560977
454	0.0561314
455	0.0560219
456	0.0559442
457	0.0560668
458	0.0560327
459	0.0559313
460	0.0559239
461	0.0559271
462	0.0560198
463	0.0561348
464	0.0560017
465	0.0559712
466	0.0559949
467	0.0560399
468	0.0560549
469	0.0559645
470	0.0560142
471	0.0559935
472	0.0561252
473	0.0559563
474	0.0560288
475	0.0559823
476	0.0560362
477	0.0559927
478	0.0560433
479	0.0559273
480	0.0559785
481	0.0560502
482	0.0560405
483	0.0559332
484	0.0559462
485	0.0559828
486	0.0558889
487	0.0559613
488	0.055923
489	0.0559766
490	0.0560676
491	0.0559066
492	0.0559292
493	0.0559343
494	0.0559585
495	0.0560045
496	0.0558917
497	0.0559366
498	0.055936
499	0.0560393
500	0.0558973
501	0.0558989
502	0.0557871
503	0.0558831
504	0.0560323
505	0.055893
506	0.0559835
507	0.0558586
508	0.0559074
509	0.0560343
510	0.0560045
511	0.0559573
512	0.0560245
513	0.0559157
514	0.0558371
515	0.0560146
516	0.055921
517	0.0559866
518	0.0559189
519	0.0560045
520	0.0559161
521	0.0561144
522	0.0559379
523	0.0559854
524	0.0560006
525	0.0559427
526	0.0559768
527	0.0559368
528	0.0560634
529	0.0559212
530	0.0560452
531	0.0560161
532	0.0560163
533	0.055872
534	0.0559883
535	0.0559336
536	0.0559708
537	0.0559994
538	0.056103
539	0.0559737
540	0.0560075
541	0.0559522
542	0.0560358
543	0.0560013
544	0.0559713
545	0.056044
546	0.0559342
547	0.0560022
548	0.0558481
549	0.0560871
550	0.0559867
551	0.0559298
552	0.0558686
553	0.056017
554	0.0559534
555	0.0560702
556	0.0559062
557	0.0560199
558	0.0560626
559	0.055953
560	0.0559521
561	0.0560743
562	0.0559941
563	0.0559621
564	0.0559402
565	0.056063
566	0.0561528
567	0.0559803
568	0.0560471
569	0.0560062
570	0.0560446
571	0.0559415
572	0.0560154
573	0.0559372
574	0.0560507
575	0.0560424
576	0.0560144
577	0.0560994
578	0.0560701
579	0.0560313
580	0.0559302
581	0.0559736
582	0.0559933
583	0.0560284
584	0.055993
585	0.0560228
586	0.0560664
587	0.0560045
588	0.0559365
589	0.0560701
590	0.0559299
591	0.0559289
592	0.0559973
593	0.0560308
594	0.0560314
595	0.0560073
596	0.0559861
597	0.0559826
598	0.0559687
599	0.0560472
600	0.0560242
601	0.0558979
602	0.0559429
603	0.0560011
604	0.0559492
605	0.0559963
606	0.0559691
607	0.0560419
608	0.0560408
609	0.0560102
610	0.0559116
611	0.0559297
612	0.0559612
613	0.0560775
614	0.0558048
615	0.0559086
616	0.0559308
617	0.0560359
618	0.0559984
619	0.056033
620	0.0559514
621	0.0559303
622	0.0560165
623	0.0560596
624	0.0559996
625	0.0559884
626	0.0560333
627	0.0561037
628	0.055985
629	0.0560896
630	0.0560828
631	0.0560436
632	0.0560264
633	0.0559987
634	0.0559678
635	0.0559482
636	0.0560038
637	0.0560198
638	0.0560909
639	0.0560327
640	0.0559963
641	0.0560827
642	0.0561023
643	0.0559338
644	0.0560631
645	0.0559392
646	0.0559893
647	0.0560681
648	0.0560446
649	0.0560031
650	0.0559689
651	0.0560378
652	0.0560531
653	0.0561596
654	0.0561002
655	0.0559601
656	0.0561885
657	0.0560771
658	0.0559969
659	0.0560611
660	0.0560784
661	0.0559779
662	0.056022
663	0.0559783
664	0.0561145
665	0.0561158
666	0.0560855
667	0.056105
668	0.0559292
669	0.0560632
670	0.0561297
671	0.0560677
672	0.0562113
673	0.0561491
674	0.0561215
675	0.0560382
676	0.0560808
677	0.0562377
678	0.056112
679	0.0560851
680	0.0561322
681	0.0560612
682	0.0560381
683	0.0560909
684	0.0561606
685	0.0560097
686	0.0560411
