# Unscaled ranges
frame_min	1
frame_max	686
intensity_min	0.0327754
intensity_max	0.043739

# Background	Estimate	Standard Error
m	-0.014182683942137512	0.0028245455136220923
b	0.020071513597123124	0.0017345570145707826

# Peak 1
A1	0.16506804878446796	0.001056282202762687
mu1	0.303182944390764	0.00027952355115302594
sigma1	0.027605898260871543	0.00029288930929289485
tau1	0.1023971817628529	0.0012526894572160612

# Peak 2	Estimate	Standard Error
A2	0.016801009227139365	0.00045872847245834305
mu2	0.46888331181962906	0.0007335966990712428
sigma2	0.014078420776100393	0.0005784590399801541
tau2	0.019969063651054362	0.0014465879988342413

# Area fractions
A1/(A1+A2)	0.9076202988522265
A2/(A1+A2)	0.0923797011477735

