# Unscaled ranges
frame_min	1
frame_max	686
intensity_min	0.0556103
intensity_max	0.0619333

# Background parameter	Estimate	Standard error	Relative standard error
m	0.03610613042350173	0.0028622639406444927	0.07927362769346852
b	0.01941791478743484	0.0017254488530638807	0.0888586067017043

# Peak 1 parameter	Estimate	Standard error	Relative standard error
A1	0.1561123539784582	0.0012194821489379332	0.00781156723257282
mu1	0.31950742910119395	0.0003226715763833094	0.0010099032041008139
sigma1	0.029341730326937814	0.0003151342858975488	0.01074013980723669
tau1	0.09384297695134017	0.0014528109695487465	0.015481296701638779

# Peak 2 parameter	Estimate	Standard Error
A2	0.01967961394294321	0.0006183319263325205	0.031419921555638254
mu2	0.4704784919853543	0.0012801652780972546	0.002720985762165522
sigma2	0.02017234713849803	0.0007934134955546198	0.03933173914305814
tau2	0.018858565745644852	0.0020965188911471204	0.11117064359103157

# Area fraction
A1/(A1+A2)	0.8880516887339119
A2/(A1+A2)	0.11194831126608805

