# Unscaled ranges
frame_min	1
frame_max	686
intensity_min	0.0328228
intensity_max	0.0390084

# Background parameter	Estimate	Standard error	Relative standard error
m	-0.0018444004061629784	0.0021789296919574384	-1.1813756300837095
b	0.03267536616047982	0.001300200384884272	0.03979145569474406

# Peak 1 parameter	Estimate	Standard error	Relative standard error
A1	0.05798506296712104	0.001182462167700787	0.02039253054482794
mu1	0.32350591770133363	0.0010087212351850407	0.0031180920656799544
sigma1	0.03534524290732072	0.0008106834068557315	0.022936139071994394
tau1	0.08918953928926673	0.004338131439483556	0.048639464605975555

# Peak 2 parameter	Estimate	Standard Error
A2	0.0555700901464745	0.0007685042542025851	0.01382945847625804
mu2	0.4644276129980951	0.00020084307272010706	0.0004324529099886463
sigma2	0.013143303995944577	0.0001853600917600109	0.014103005744765895
tau2	0.04090035509026781	0.0007153242005846001	0.01748943741456197

# Area fraction
A1/(A1+A2)	0.5106334796547309
A2/(A1+A2)	0.4893665203452691

