# Unscaled ranges
frame_min	1
frame_max	686
intensity_min	0.0328802
intensity_max	0.0401473

# Background parameter	Estimate	Standard error	Relative standard error
m	-0.00034364638319169644	0.0023722467993525106	-6.903162423301859
b	0.040487606246758005	0.001387890318392709	0.034279386880370154

# Peak parameter	Estimate	Standard error	Relative standard error
A	0.06420408463239205	0.00035230927161721085	0.005487334234798277
mu	0.4619847217499748	0.00015452851632727685	0.0003344883695329374
sigma	0.01196799036670343	0.00017522252399965722	0.014640931236638528
tau	0.041492781390568424	0.0004649248020995138	0.011204956296450982

