# Unscaled ranges
frame_min	1
frame_max	686
intensity_min	0.0328799
intensity_max	0.0422171

# Background	Estimate	Standard Error
m	0.006144049512037725	0.002271103826110644
b	0.026115125093025125	0.0013302250173303307

# Peak	Estimate	Standard Error
A	0.05847976192578105	0.00032443134292667845
mu	0.4615370039261834	0.00014448130979611982
sigma	0.010953437316939358	0.00016520833400183703
tau	0.03921966461992987	0.0004403983342356103

