# Unscaled ranges
frame_min	1
frame_max	686
intensity_min	0.0549473
intensity_max	0.0596497

# Background parameter	Estimate	Standard error	Relative standard error
m	0.13492450654127494	0.002979023683303429	0.02207918901961751
b	0.016611681089896187	0.0017812163983237583	0.10722673934591467

# Peak 1 parameter	Estimate	Standard error	Relative standard error
A1	0.14535104431286405	0.00126490117174388	0.00870238791694689
mu1	0.33005556753577175	0.00042086786636748975	0.001275142454071391
sigma1	0.03365396758601921	0.0003887405030287867	0.011551104696204684
tau1	0.09166029376396616	0.0016931038541299836	0.01847150805003838

# Peak 2 parameter	Estimate	Standard Error
A2	0.02941517164209054	0.000628600121639931	0.02136992873230286
mu2	0.46560263731385637	0.00035323837784313766	0.0007586691945755121
sigma2	0.011297499916472066	0.0003276790284985897	0.029004561267650435
tau2	0.027617162226777025	0.0010166348089063312	0.03681170427860337

# Area fraction
A1/(A1+A2)	0.8316884560247491
A2/(A1+A2)	0.16831154397525094

