#frame	 avgInt
1	0.0331546
2	0.0330105
3	0.0330831
4	0.0331177
5	0.0331399
6	0.0331636
7	0.0329285
8	0.0330544
9	0.0330648
10	0.0332437
11	0.0330046
12	0.0330431
13	0.0330303
14	0.0329426
15	0.0330479
16	0.0331779
17	0.0333179
18	0.0330127
19	0.0331873
20	0.0330828
21	0.0330567
22	0.033147
23	0.0331001
24	0.0329236
25	0.0330362
26	0.0331565
27	0.0331894
28	0.0331842
29	0.0330163
30	0.0331855
31	0.0331491
32	0.0331935
33	0.033061
34	0.0330982
35	0.0330325
36	0.0330475
37	0.0330135
38	0.0332035
39	0.033039
40	0.0330858
41	0.03307
42	0.0331952
43	0.0331746
44	0.0331065
45	0.0330697
46	0.0332267
47	0.0330901
48	0.0331785
49	0.0332717
50	0.0330531
51	0.0331476
52	0.0331362
53	0.0330303
54	0.0331754
55	0.0332429
56	0.033117
57	0.0332528
58	0.0331236
59	0.0330867
60	0.0331854
61	0.0330869
62	0.0331312
63	0.0330852
64	0.0332091
65	0.0331826
66	0.033118
67	0.0331365
68	0.0331381
69	0.0332485
70	0.0331586
71	0.0332971
72	0.0332371
73	0.0332527
74	0.0330967
75	0.0331608
76	0.0330018
77	0.0330654
78	0.0331299
79	0.0329555
80	0.0330789
81	0.0330963
82	0.0331711
83	0.0330972
84	0.0330949
85	0.0331676
86	0.033139
87	0.0332138
88	0.0330959
89	0.0333374
90	0.0331047
91	0.0331389
92	0.0331713
93	0.0329356
94	0.0331699
95	0.0331951
96	0.0332558
97	0.0331117
98	0.0330749
99	0.0332207
100	0.0330551
101	0.0329859
102	0.0330284
103	0.0331923
104	0.0331885
105	0.0331394
106	0.0331725
107	0.0330927
108	0.0331825
109	0.0331654
110	0.0331744
111	0.0331396
112	0.0331354
113	0.0332211
114	0.0331203
115	0.0331255
116	0.033171
117	0.0331318
118	0.0332055
119	0.0331705
120	0.0331545
121	0.0332182
122	0.0328802
123	0.0331178
124	0.0331855
125	0.0329625
126	0.033109
127	0.0330236
128	0.0330595
129	0.0331757
130	0.0330934
131	0.033092
132	0.0330466
133	0.0330668
134	0.0332632
135	0.0331041
136	0.033187
137	0.0331466
138	0.032998
139	0.033068
140	0.0330168
141	0.0331241
142	0.0331375
143	0.0331898
144	0.0331459
145	0.0332722
146	0.0331233
147	0.0330857
148	0.0331811
149	0.0331853
150	0.033179
151	0.0330084
152	0.0331369
153	0.0332896
154	0.0331252
155	0.0331115
156	0.033022
157	0.0330515
158	0.0330929
159	0.0330753
160	0.0330596
161	0.0331838
162	0.0329638
163	0.0332061
164	0.0331899
165	0.0331063
166	0.0332168
167	0.0329976
168	0.0331413
169	0.0332627
170	0.0330326
171	0.033219
172	0.0331135
173	0.0331288
174	0.032968
175	0.0331405
176	0.0329206
177	0.0331714
178	0.0331085
179	0.0332015
180	0.0331475
181	0.0330643
182	0.0332075
183	0.033188
184	0.0331754
185	0.0332354
186	0.0332309
187	0.0332747
188	0.0331758
189	0.0331202
190	0.0331779
191	0.0332682
192	0.0331689
193	0.0331585
194	0.0333159
195	0.0332876
196	0.0329435
197	0.0332028
198	0.0331533
199	0.0332847
200	0.0331779
201	0.0332119
202	0.0332487
203	0.0331185
204	0.0332164
205	0.0332796
206	0.0332647
207	0.0331869
208	0.0331271
209	0.0332417
210	0.0333041
211	0.0332579
212	0.033285
213	0.033223
214	0.0332281
215	0.0330148
216	0.0332879
217	0.0331714
218	0.0331945
219	0.033221
220	0.0331296
221	0.0330919
222	0.0332432
223	0.0331366
224	0.0331505
225	0.0333495
226	0.0332115
227	0.0331638
228	0.0332086
229	0.0331144
230	0.0333295
231	0.0331767
232	0.0331365
233	0.0330668
234	0.0330795
235	0.0330763
236	0.0331803
237	0.0332325
238	0.0331883
239	0.0332321
240	0.0331938
241	0.0332153
242	0.0332958
243	0.0332206
244	0.0332747
245	0.0333559
246	0.0330654
247	0.0332239
248	0.0331884
249	0.0332334
250	0.0332534
251	0.0332149
252	0.0332465
253	0.0332154
254	0.0332675
