#frame	 avgInt
1	0.0328838
2	0.0329049
3	0.0329734
4	0.0329363
5	0.0328536
6	0.033144
7	0.032943
8	0.0329898
9	0.0329206
10	0.0329465
11	0.0330037
12	0.0328171
13	0.033064
14	0.0329514
15	0.0330443
16	0.0329038
17	0.0329613
18	0.0330455
19	0.0330029
20	0.0330964
21	0.033046
22	0.0330929
23	0.0330271
24	0.0330522
25	0.0330041
26	0.0331429
27	0.032883
28	0.0329197
29	0.0330777
30	0.0329713
31	0.0329851
32	0.0328861
33	0.0328214
34	0.033045
35	0.0330007
36	0.0329659
37	0.0330073
38	0.0331461
39	0.032947
40	0.0329822
41	0.0329043
42	0.0329375
43	0.0329909
44	0.0330951
45	0.0330501
46	0.033041
47	0.0331438
48	0.0329802
49	0.0330827
50	0.0328802
51	0.0330604
52	0.0329457
53	0.0329863
54	0.0330296
55	0.0329793
56	0.0329415
57	0.0329761
58	0.0329516
59	0.0330223
60	0.0329608
61	0.0329921
62	0.0328728
63	0.0330027
64	0.0330345
65	0.0330275
66	0.0330526
67	0.0329209
68	0.0329109
69	0.0329294
70	0.0329305
71	0.0331422
72	0.0331402
73	0.0329902
74	0.0330036
75	0.0331439
76	0.0327819
77	0.0332556
78	0.032987
79	0.0330506
80	0.0331356
81	0.033057
82	0.0330424
83	0.0329844
84	0.0330303
85	0.0329183
86	0.0328909
87	0.0330523
88	0.0329869
89	0.0329876
90	0.033015
91	0.0331477
92	0.0330477
93	0.0329841
94	0.0330002
95	0.0330042
96	0.0328463
97	0.0329474
98	0.0329589
99	0.0330629
100	0.0330286
101	0.0329197
102	0.032952
103	0.0330699
104	0.0331193
105	0.0331155
106	0.0330146
107	0.0330664
108	0.0331896
109	0.032932
110	0.0329745
111	0.0331906
112	0.0330461
113	0.0330523
114	0.0330912
115	0.0329481
116	0.0330971
117	0.032888
118	0.0328186
119	0.0329712
120	0.0329244
121	0.0328616
122	0.0330175
123	0.032895
124	0.032968
125	0.0329594
126	0.0330038
127	0.0329205
128	0.0330093
129	0.0329925
130	0.0330614
131	0.0329887
132	0.0329939
133	0.0331624
134	0.0330732
135	0.0330759
136	0.0329495
137	0.0330299
138	0.0329678
139	0.0330706
140	0.0330462
141	0.0331139
142	0.0329643
143	0.03304
144	0.0330497
145	0.0329299
146	0.033102
147	0.0330613
148	0.0330766
149	0.0330605
150	0.0330162
151	0.0331101
152	0.032865
153	0.0331566
154	0.0332139
155	0.0329203
156	0.0329757
157	0.0330334
158	0.0330054
159	0.033011
160	0.0330873
161	0.0330051
162	0.0330509
163	0.0330772
164	0.0330879
165	0.0330681
166	0.0328721
167	0.0330328
168	0.0330668
169	0.0335932
170	0.0331776
171	0.0331137
172	0.0331266
173	0.0330421
174	0.0330109
175	0.0330625
176	0.0330046
177	0.0332551
178	0.0330773
179	0.0330736
180	0.0332295
181	0.033104
182	0.0331601
183	0.0332316
184	0.0332124
185	0.0332617
186	0.0333183
187	0.0336326
188	0.0337553
189	0.0338344
190	0.0338749
191	0.0340215
192	0.0342488
193	0.0344194
194	0.0346356
195	0.034611
196	0.0349132
197	0.0350406
198	0.0353159
199	0.0355178
200	0.0358689
201	0.0359644
202	0.0362645
203	0.0365658
204	0.0365837
205	0.0368827
206	0.0373252
207	0.0376614
208	0.0375965
209	0.0379765
